# STUDENT LIST

1, unknow, 173, duty, exc
2, unknow, 167, duty, nexc
3, unknow, 179, duty, nexc
4, unknow, 178, nduty, nexc
5, unknow, 164, nduty, nexc
6, unknow, 165, nduty, nexc
7, unknow, 158, nduty, nexc
8, unknow, 169, nduty, nexc
9, unknow, 175, nduty, exc
10, unknow, 173, duty, nexc
11, unknow, 150, nduty, nexc
12, unknow, 152, nduty, nexc
13, unknow, 162, nduty, nexc
14, unknow, 168, nduty, nexc
15, unknow, 153, nduty, nexc
16, unknow, 166, nduty, nexc
17, unknow, 154, nduty, nexc
18, unknow, 154, nduty, nexc
19, unknow, 154, nduty, nexc
20, unknow, 154, nduty, nexc
21, unknow, 172, nduty, nexc
22, unknow, 176, nduty, nexc
23, unknow, 154, duty, nexc
24, unknow, 158, duty, nexc
25, unknow, 177, duty, nexc
26, unknow, 169, nduty, nexc
27, unknow, 168, nduty, nexc
28, unknow, 167, nduty, nexc
29, unknow, 163, nduty, nexc
30, unknow, 172, nduty, nexc
31, unknow, 151, nduty, nexc
32, unknow, 152, nduty, nexc
33, unknow, 161, nduty, nexc
34, unknow, 178, nduty, nexc
35, unknow, 159, duty, nexc
36, unknow, 154, nduty, nexc
37, unknow, 157, nduty, nexc
38, unknow, 173, duty, nexc
39, unknow, 179, duty, nexc
40, unknow, 171, nduty, nexc
41, unknow, 161, nduty, nexc
42, unknow, 161, nduty, nexc
43, unknow, 179, duty, nexc
44, unknow, 175, duty, nexc
45, unknow, 165, nduty, nexc
46, unknow, 167, nduty, nexc
47, unknow, 170, nduty, nexc
48, unknow, 171, nduty, nexc
49, unknow, 160, nduty, nexc
